success_prob,lat_mean,lat_std,cost_mean
0.535,4.51,1.83,1251.8
0.4331,11.9,5.47,4272.85
0.4856,11.41,4.21,2611.89
0.5289,5.42,2.15,1900.77
0.3716,10.93,4.71,3949.14
0.3884,18.24,7.92,6210.97
0.5483,8.83,3.04,2710.36
0.7695,2.64,0.71,1087.49
0.3485,9.28,3.98,3856.72
0.1933,15.0,7.42,5347.54
0.684,3.91,1.18,1159.8
0.5152,8.29,4.24,3503.04
0.289,11.51,5.06,3515.83
0.4953,4.5,1.86,1000.6
0.365,9.22,4.37,2171.41
0.6448,4.29,1.33,1250.44
0.7388,2.04,0.37,521.37
0.5897,2.96,1.1,1289.22
0.4499,11.31,4.0,2158.46
0.4696,6.1,2.62,1790.55
0.3495,11.13,6.11,4465.93
0.6335,3.45,0.8,815.48
0.329,14.51,7.56,4794.81
0.612,3.48,1.13,1592.41
0.381,8.7,2.92,1820.02
0.383,8.26,3.09,2267.03
0.7343,2.57,0.63,524.52
0.4386,11.15,5.38,3998.48
0.5304,4.82,1.36,1517.9
0.2182,23.69,12.94,9788.99
0.5426,6.33,2.34,2260.96
0.309,17.84,10.14,5884.43
0.6884,2.82,0.77,1270.05
0.7972,2.83,0.69,811.14
0.321,17.3,9.13,6512.18
0.8526,2.32,0.61,1012.7
0.6419,1.93,0.57,726.03
0.213,15.63,8.26,5322.67
0.5502,3.22,1.14,854.15
0.4266,10.75,4.71,4184.65
0.4774,10.78,4.48,3780.49
0.3554,6.98,3.58,2619.7
0.6029,6.64,1.85,2657.72
0.9397,1.29,0.22,594.42
0.7423,2.49,0.68,1144.98
0.6318,2.27,0.74,603.82
0.2106,19.22,10.52,3560.94
0.2957,18.96,11.12,5063.39
0.857,1.9,0.45,495.49
0.6007,4.15,1.29,1492.16
0.2247,46.82,25.89,11656.15
0.6213,4.39,1.59,1697.39
0.4321,8.08,3.78,3392.74
0.353,11.64,4.53,4493.69
0.4205,6.93,2.93,2070.14
0.6457,3.34,1.41,1501.06
0.7763,2.6,0.64,1084.45
0.4466,11.85,4.69,4626.81
0.3499,13.21,5.93,3151.29
0.8036,2.02,0.25,804.31
0.1767,19.17,10.53,3843.97
0.9207,1.09,0.27,491.85
0.9038,1.23,0.15,381.53
0.7184,2.46,0.41,1005.03
0.6145,4.12,1.18,937.2
0.4576,4.92,2.12,1506.53
0.5448,6.04,2.67,2152.85
0.4768,4.05,1.64,1100.3
0.6779,3.34,0.84,1098.31
0.2744,14.37,7.59,5682.44
0.6729,2.77,1.1,1245.56
0.5362,7.22,2.36,2871.86
0.751,1.55,0.4,693.14
0.4782,4.55,1.75,1267.33
0.2977,16.27,6.75,3410.99
0.2242,19.64,11.74,6042.08
0.4601,9.2,4.35,3775.25
0.4967,9.99,3.0,2512.58
0.6543,4.9,1.31,1354.27
0.4245,8.08,3.11,3181.57
0.6456,3.26,1.12,1022.72
0.4563,10.07,3.95,2888.16
0.5585,6.82,2.71,2836.38
0.4245,8.03,3.27,2738.83
0.2877,17.81,9.12,7218.43
0.7651,2.23,0.59,826.17
0.4,6.76,2.79,2130.4
0.5684,4.45,1.6,984.59
0.3943,9.59,4.15,2689.45
0.4549,8.72,3.75,2127.39
0.3964,4.51,1.8,1008.23
0.2618,12.29,5.87,3081.64
0.2153,17.01,10.61,5216.11
0.635,4.24,1.36,1134.69
0.6691,3.93,1.4,878.18
0.7872,3.65,0.65,1248.12
0.212,11.99,7.06,2697.93
0.7241,2.64,0.93,589.7
0.6187,4.53,1.47,2050.35
0.4988,5.19,1.73,1701.88
0.686,3.52,0.96,1519.12
0.6468,5.43,1.97,1322.4
0.2105,18.45,10.2,5537.57
0.9272,1.14,0.19,259.19
0.608,3.57,0.98,1022.0
0.6123,3.92,1.6,1573.11
0.4254,9.81,4.19,4017.89
0.7614,1.78,0.38,697.98
0.6305,8.34,3.12,2122.85
0.6939,3.37,1.13,1402.75
0.4489,7.67,3.51,2730.78
0.6532,3.53,1.5,1123.1
0.6731,2.67,0.77,968.18
0.3218,12.26,5.54,3793.11
0.3104,8.97,3.57,2453.09
0.486,7.31,2.79,2354.55
0.1785,16.91,9.26,3440.99
0.6897,2.58,0.6,866.12
0.428,6.74,2.36,2174.32
0.6893,3.3,1.01,1049.96
0.425,14.97,7.36,3946.75
0.488,6.48,2.42,2274.77
0.4359,7.3,3.57,2241.35
0.8042,1.75,0.5,523.33
0.4048,11.53,6.15,3254.3
0.2545,13.36,8.52,2737.91
0.9186,1.26,0.38,548.89
0.836,2.07,0.49,737.31
0.2572,11.8,5.46,3333.81
0.6142,3.88,1.26,1130.59
0.5609,4.54,1.99,1215.69
0.8202,1.43,0.25,572.48
0.5551,5.88,2.61,1309.33
0.3652,7.41,3.11,3178.96
0.2918,11.92,6.03,3809.83
0.248,16.68,8.73,5687.83
0.8793,1.6,0.23,428.12
0.6246,5.52,1.77,2360.39
0.4944,8.31,3.86,2750.39
0.4493,10.75,4.0,3119.35
0.348,7.55,3.87,2726.97
0.6214,5.16,1.57,1402.66
0.5485,2.65,0.68,1306.08
0.6208,4.39,1.45,1163.34
0.8072,2.71,0.7,1075.09
0.6586,3.49,1.06,1508.4
0.6045,8.98,3.47,2765.44
0.3164,15.79,9.54,6300.31
0.3213,15.26,7.78,3143.85
0.2175,13.94,6.9,4649.78
0.7582,3.05,0.72,980.08
0.5907,5.2,2.17,1542.28
0.2315,16.61,8.12,5024.63
0.1821,21.09,11.41,6925.26
0.4708,7.45,3.55,2571.12
0.7305,2.44,0.87,637.48
0.5636,4.83,1.79,1508.9
0.568,3.81,1.34,1000.46
0.3568,5.97,2.63,2100.3
0.2607,14.08,6.85,2999.35
0.5052,3.73,1.29,1195.37
0.2472,16.91,8.84,7203.29
0.2126,16.13,9.14,6872.84
0.2503,18.04,9.42,5576.12
0.6733,2.1,0.7,690.5
0.346,17.25,7.59,5693.52
0.7575,1.33,0.28,501.01
0.6974,3.65,1.25,811.81
0.2553,17.28,9.03,7442.91
0.7341,2.19,0.58,696.36
0.682,2.61,0.67,785.81
0.2973,12.76,7.21,3926.86
0.5512,3.73,1.35,1591.03
0.7283,4.26,1.45,1719.19
0.6405,1.98,0.59,636.27
0.2677,15.41,8.69,5441.72
0.8128,1.63,0.36,743.96
0.3018,27.25,15.64,9702.73
0.2008,16.02,9.1,3510.47
0.5442,9.68,2.99,3195.41
0.6844,3.67,1.09,1533.09
0.753,1.19,0.35,406.82
0.1287,18.04,11.27,5643.21
0.6536,2.67,0.88,985.86
0.7507,1.52,0.37,669.22
0.4465,7.79,3.68,1808.6
0.254,20.68,10.78,5165.48
0.3325,13.69,6.16,4500.86
0.7306,1.92,0.48,599.82
0.5345,5.43,2.17,1574.17
0.8825,0.9,0.13,408.46
0.7248,2.79,0.49,619.26
0.4368,9.89,3.2,3120.56
0.4598,6.25,2.7,2718.99
0.8533,0.97,0.11,410.22
0.4722,7.75,3.28,2008.35
0.6758,2.21,0.55,702.31
0.7227,1.56,0.34,545.33
0.5712,9.07,2.92,2664.29
0.5955,3.43,1.19,1459.19
0.1877,16.31,8.45,5511.88
0.4396,6.08,2.27,1838.64
0.7583,2.53,0.74,804.78
0.3071,18.28,9.26,5815.13
0.5906,4.81,1.97,1293.44
0.3844,9.6,4.43,2782.81
0.6132,3.97,1.05,1111.29
0.3202,10.66,5.02,3330.31
0.9348,1.61,0.38,689.77
0.4478,9.66,4.09,3806.77
0.6401,4.3,1.37,1104.13
0.8585,1.77,0.64,783.71
0.517,7.6,2.43,2403.47
0.8726,1.57,0.38,616.32
0.5714,5.37,2.11,1873.68
0.4658,11.73,4.75,4556.02
0.2828,11.87,5.72,4157.18
0.3916,16.74,6.94,3229.38
0.6877,2.5,0.73,798.22
0.5388,3.7,1.43,1671.12
0.862,1.74,0.34,546.71
0.5656,5.16,2.6,1998.59
0.4496,5.76,2.02,2301.26
0.229,22.16,13.09,5907.05
0.5287,5.7,2.24,2237.04
0.7428,4.53,1.28,1329.54
0.4517,8.05,3.97,1553.28
0.6556,3.45,0.88,1386.0
0.4026,9.04,4.27,3535.31
0.5618,5.08,1.56,1628.37
0.5139,6.74,2.41,1563.53
0.5843,4.48,1.4,1639.97
0.5439,4.67,1.53,1787.35
0.5677,6.43,1.74,2269.72
0.3842,15.04,6.85,4196.01
0.8201,1.72,0.37,678.18
0.5855,7.61,2.57,2420.94
0.4918,6.94,2.84,1687.88
0.2097,38.67,22.09,14943.62
0.2725,14.12,6.52,3051.7
0.6529,4.22,2.04,1421.77
0.2274,26.38,15.69,10355.31
0.5526,6.03,3.12,1943.6
0.3064,13.04,5.82,4920.92
0.3634,18.81,9.35,4527.83
0.2286,27.92,13.68,8120.63
0.4824,6.6,2.49,2365.41
0.2244,19.6,9.74,7890.49
0.6525,3.44,1.49,1277.69
0.2387,17.97,8.33,4345.29
0.4025,10.16,4.19,2350.92
0.4129,8.08,2.71,3231.77
0.6882,3.11,1.09,981.34
0.1727,16.23,7.87,3717.65
0.4213,10.14,4.86,3033.05
0.4764,9.3,2.98,2042.48
